action,time
0,Wed Mar 22 13:06:04 2023
1,Wed Mar 22 13:06:20 2023
1,Wed Mar 22 13:06:50 2023
-1,Wed Mar 22 13:07:05 2023
1,Wed Mar 22 13:14:23 2023
-1,Wed Mar 22 13:14:38 2023
1,Wed Mar 22 13:15:08 2023
-1,Wed Mar 22 13:15:23 2023
0,Wed Mar 22 13:15:54 2023
0,Wed Mar 22 13:16:09 2023
-1,Wed Mar 22 13:16:39 2023
0,Wed Mar 22 13:16:54 2023
0,Wed Mar 22 13:17:24 2023
1,Wed Mar 22 13:17:39 2023
-1,Wed Mar 22 13:18:09 2023
1,Wed Mar 22 13:18:25 2023
-1,Wed Mar 22 13:18:55 2023
-1,Wed Mar 22 13:19:10 2023
1,Wed Mar 22 13:19:40 2023
-1,Wed Mar 22 13:19:55 2023
1,Wed Mar 22 13:20:25 2023
0,Wed Mar 22 13:20:40 2023
1,Wed Mar 22 13:21:11 2023
0,Wed Mar 22 13:21:26 2023
0,Wed Mar 22 13:21:56 2023
0,Wed Mar 22 13:22:11 2023
1,Wed Mar 22 13:22:41 2023
1,Wed Mar 22 13:23:52 2023
0,Wed Mar 22 13:24:07 2023
0,Wed Mar 22 13:24:38 2023
0,Wed Mar 22 13:24:53 2023
1,Wed Mar 22 13:25:23 2023
0,Wed Mar 22 13:25:38 2023
0,Wed Mar 22 13:26:08 2023
1,Wed Mar 22 13:26:23 2023
1,Wed Mar 22 13:26:53 2023
1,Wed Mar 22 13:27:09 2023
1,Wed Mar 22 13:27:39 2023
1,Wed Mar 22 13:27:54 2023
0,Wed Mar 22 13:36:08 2023
1,Wed Mar 22 13:36:23 2023
0,Wed Mar 22 13:36:54 2023
1,Wed Mar 22 13:37:09 2023
1,Wed Mar 22 13:37:39 2023
1,Wed Mar 22 13:37:54 2023
1,Wed Mar 22 13:38:24 2023
0,Wed Mar 22 13:38:39 2023
1,Wed Mar 22 13:39:10 2023
0,Wed Mar 22 13:39:25 2023
0,Wed Mar 22 13:39:55 2023
1,Wed Mar 22 13:40:10 2023
0,Wed Mar 22 13:40:40 2023
0,Wed Mar 22 13:40:55 2023
1,Wed Mar 22 13:41:26 2023
1,Wed Mar 22 13:41:41 2023
0,Wed Mar 22 13:45:16 2023
1,Wed Mar 22 13:45:31 2023
1,Wed Mar 22 13:46:01 2023
0,Wed Mar 22 13:46:16 2023
1,Wed Mar 22 13:46:47 2023
0,Wed Mar 22 13:47:02 2023
1,Wed Mar 22 13:47:52 2023
0,Wed Mar 22 13:48:07 2023
1,Wed Mar 22 13:48:22 2023
1,Wed Mar 22 13:48:37 2023
0,Wed Mar 22 13:48:53 2023
1,Wed Mar 22 13:49:08 2023
0,Wed Mar 22 13:49:23 2023
1,Wed Mar 22 13:49:38 2023
1,Wed Mar 22 13:49:53 2023
0,Wed Mar 22 13:50:08 2023
1,Wed Mar 22 13:50:23 2023
0,Wed Mar 22 13:50:38 2023
0,Wed Mar 22 13:50:53 2023
0,Wed Mar 22 13:51:09 2023
0,Wed Mar 22 13:51:24 2023
1,Wed Mar 22 13:51:39 2023
0,Wed Mar 22 13:56:21 2023
0,Wed Mar 22 13:56:36 2023
0,Wed Mar 22 13:56:51 2023
0,Wed Mar 22 13:57:06 2023
1,Wed Mar 22 13:57:21 2023
0,Wed Mar 22 13:57:36 2023
0,Wed Mar 22 13:57:51 2023
0,Wed Mar 22 13:58:06 2023
1,Wed Mar 22 13:58:22 2023
1,Wed Mar 22 13:58:37 2023
0,Wed Mar 22 13:58:52 2023
1,Wed Mar 22 13:59:07 2023
1,Wed Mar 22 13:59:22 2023
0,Wed Mar 22 13:59:37 2023
0,Wed Mar 22 13:59:52 2023
0,Wed Mar 22 14:00:07 2023
1,Wed Mar 22 14:00:38 2023
1,Wed Mar 22 17:03:54 2023
1,Wed Mar 22 17:04:09 2023
1,Wed Mar 22 17:04:24 2023
1,Wed Mar 22 17:04:39 2023
1,Wed Mar 22 17:04:54 2023
0,Wed Mar 22 17:05:09 2023
0,Wed Mar 22 17:05:24 2023
0,Wed Mar 22 17:05:39 2023
1,Wed Mar 22 17:05:54 2023
1,Wed Mar 22 17:06:10 2023
0,Wed Mar 22 17:06:25 2023
0,Wed Mar 22 17:06:40 2023
0,Wed Mar 22 17:06:55 2023
1,Wed Mar 22 17:07:10 2023
1,Wed Mar 22 17:07:25 2023
1,Wed Mar 22 17:07:40 2023
1,Wed Mar 22 17:08:11 2023
1,Wed Mar 22 17:08:26 2023
1,Wed Mar 22 17:08:41 2023
0,Wed Mar 22 17:08:56 2023
0,Wed Mar 22 17:09:11 2023
1,Wed Mar 22 17:09:26 2023
1,Wed Mar 22 17:09:41 2023
1,Wed Mar 22 17:09:56 2023
1,Wed Mar 22 17:10:12 2023
0,Wed Mar 22 17:10:27 2023
1,Wed Mar 22 17:10:42 2023
1,Wed Mar 22 17:10:57 2023
0,Wed Mar 22 17:11:12 2023
0,Wed Mar 22 17:11:27 2023
1,Wed Mar 22 17:11:42 2023
1,Wed Mar 22 17:11:57 2023
0,Wed Mar 22 17:12:27 2023
0,Wed Mar 22 17:12:43 2023
0,Wed Mar 22 17:12:58 2023
0,Wed Mar 22 17:13:13 2023
0,Wed Mar 22 17:13:28 2023
0,Wed Mar 22 17:13:43 2023
1,Wed Mar 22 17:13:58 2023
0,Wed Mar 22 17:14:13 2023
1,Wed Mar 22 17:14:28 2023
1,Wed Mar 22 17:14:43 2023
0,Wed Mar 22 17:14:59 2023
1,Wed Mar 22 17:15:14 2023
1,Wed Mar 22 17:15:29 2023
0,Wed Mar 22 17:15:44 2023
1,Wed Mar 22 17:15:59 2023
1,Wed Mar 22 17:16:14 2023
