cpu,time
0.0,Wed Mar 22 15:56:31 2023
0.0,Wed Mar 22 15:56:36 2023
0.0,Wed Mar 22 15:56:41 2023
0.0,Wed Mar 22 15:56:46 2023
0.14845694,Wed Mar 22 15:56:51 2023
0.14845694,Wed Mar 22 15:56:56 2023
0.14845694,Wed Mar 22 15:57:01 2023
0.14821889,Wed Mar 22 15:57:06 2023
0.14821889,Wed Mar 22 15:57:11 2023
0.14821889,Wed Mar 22 15:57:16 2023
0.07474082,Wed Mar 22 15:57:21 2023
0.07474082,Wed Mar 22 15:57:26 2023
0.07474082,Wed Mar 22 15:57:31 2023
0.0902908,Wed Mar 22 15:57:36 2023
0.0902908,Wed Mar 22 15:57:41 2023
0.0902908,Wed Mar 22 15:57:46 2023
0.04929816,Wed Mar 22 15:57:52 2023
0.04929816,Wed Mar 22 15:57:57 2023
0.04929816,Wed Mar 22 15:58:02 2023
0.03519686,Wed Mar 22 15:58:07 2023
0.03519686,Wed Mar 22 15:58:12 2023
0.03519686,Wed Mar 22 15:58:17 2023
0.08684537,Wed Mar 22 15:58:22 2023
0.08684537,Wed Mar 22 15:58:27 2023
0.08684537,Wed Mar 22 15:58:32 2023
0.21624408,Wed Mar 22 15:58:37 2023
0.21624408,Wed Mar 22 15:58:42 2023
0.21624408,Wed Mar 22 15:58:47 2023
0.07216411,Wed Mar 22 15:58:52 2023
0.07216411,Wed Mar 22 15:58:57 2023
0.07216411,Wed Mar 22 15:59:02 2023
0.01860088,Wed Mar 22 15:59:07 2023
0.01860088,Wed Mar 22 15:59:12 2023
0.01860088,Wed Mar 22 15:59:17 2023
0.50221646,Wed Mar 22 15:59:22 2023
0.50221646,Wed Mar 22 15:59:27 2023
0.50221646,Wed Mar 22 15:59:32 2023
0.19465802,Wed Mar 22 15:59:37 2023
0.19465802,Wed Mar 22 15:59:42 2023
0.19465802,Wed Mar 22 15:59:47 2023
0.19129194,Wed Mar 22 15:59:52 2023
0.19129194,Wed Mar 22 15:59:57 2023
0.19129194,Wed Mar 22 16:00:02 2023
0.3289437,Wed Mar 22 16:00:07 2023
0.3289437,Wed Mar 22 16:00:12 2023
0.3289437,Wed Mar 22 16:00:17 2023
0.19890261,Wed Mar 22 16:00:23 2023
0.19890261,Wed Mar 22 16:00:28 2023
0.19890261,Wed Mar 22 16:00:33 2023
0.09431526,Wed Mar 22 16:00:38 2023
0.09431526,Wed Mar 22 16:00:43 2023
0.09431526,Wed Mar 22 16:00:48 2023
0.23014644,Wed Mar 22 16:00:53 2023
0.23014644,Wed Mar 22 16:00:58 2023
